Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
领取优惠券,2000,69,27,212,222,269,4,391,0.000%,893.25592,196.71,211.97
TOTAL,2000,69,27,212,222,269,4,391,0.000%,893.25592,196.71,211.97
