Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
领取优惠券,2000,52,21,146,160,197,5,285,0.000%,919.11765,202.40,218.11
TOTAL,2000,52,21,146,160,197,5,285,0.000%,919.11765,202.40,218.11
