Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
领取优惠券,2100,576,744,803,823,836,21,889,0.000%,1271.18644,280.50,301.66
TOTAL,2100,576,744,803,823,836,21,889,0.000%,1271.18644,280.50,301.66
