Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
领取优惠券,2100,580,733,846,859,868,21,886,0.000%,1283.61858,283.24,304.61
TOTAL,2100,580,733,846,859,868,21,886,0.000%,1283.61858,283.24,304.61
