Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
领取优惠券,2100,599,769,807,812,822,18,856,0.000%,1345.29148,296.85,319.24
TOTAL,2100,599,769,807,812,822,18,856,0.000%,1345.29148,296.85,319.24
