Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
抢券-8002,1367,44,32,89,103,121,9,152,0.000%,713.09338,158.84,169.22
抢券-8001,1433,42,31,87,103,121,8,417,0.000%,747.52217,166.68,177.39
TOTAL,2800,43,32,88,103,121,8,417,0.000%,1460.61555,325.52,346.61
