Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
抢券-8002,1523,303,259,592,630,1327,9,1433,0.000%,730.80614,162.30,173.42
抢券-8001,1477,395,350,769,802,845,9,885,0.000%,709.75493,159.39,168.43
TOTAL,3000,348,306,735,785,1266,9,1433,0.000%,1439.53935,321.46,341.61
